household_id,scenario,reconstruction_error,isolation_forest_score
HH000001,retired_couple_high_assets_low_income,0.026655458801721786,0.3733835399859623
HH000002,retired_couple_high_assets_low_income,0.023347627119343656,0.39095065053254313
HH000003,affluent_couple_brokerage_and_pensions,0.09353503536574659,0.3973694579074941
HH000004,retired_couple_high_assets_low_income,0.08873612081198105,0.3901082557782494
HH000005,young_dual_income_low_assets,0.14039930740298168,0.4392696446701994
HH000006,young_dual_income_low_assets,0.0171799577175512,0.4395857559084346
HH000007,widowed,0.10559269025622298,0.4222639127242782
HH000008,financially_stressed_with_debt,0.010529704929010883,0.4753605057298768
HH000009,family_with_mortgage_and_children,0.12559119599465426,0.3974062661087871
HH000010,family_with_mortgage_and_children,0.2090617124832363,0.43248828019905633
HH000011,one_high_earner_one_low_earner,0.11900807443995798,0.40996000409740446
HH000012,self_employed_business_owner,0.04352893033143915,0.4142831022587444
HH000013,affluent_couple_brokerage_and_pensions,0.11183218097047115,0.4082212460384695
HH000014,pre_retirement_wealthy,0.04701081070891995,0.4084760977251046
HH000015,family_with_mortgage_and_children,0.12027480296334597,0.4168536426058905
HH000016,retired_couple_high_assets_low_income,0.11110909871004293,0.4183608970261348
HH000017,affluent_couple_brokerage_and_pensions,0.08397779067665667,0.4268248395628554
HH000018,one_high_earner_one_low_earner,0.03831398082097703,0.398607559849468
HH000019,family_with_mortgage_and_children,0.2596390230161196,0.4494849970785367
HH000020,affluent_couple_brokerage_and_pensions,0.0303393158710153,0.3885777345317623
HH000021,affluent_couple_brokerage_and_pensions,0.01606080018240204,0.41442113518215656
HH000022,young_dual_income_low_assets,0.021136628413785486,0.4232800479271471
HH000023,family_with_mortgage_and_children,0.051336424275265274,0.42518880772575757
HH000024,young_dual_income_low_assets,0.009549410033224614,0.38340924638878177
HH000025,one_high_earner_one_low_earner,0.033049028171998174,0.4260248464945207
HH000026,affluent_couple_brokerage_and_pensions,0.023832565088872992,0.38214431708621865
HH000027,one_high_earner_one_low_earner,0.13419866209472753,0.40756614519463974
HH000028,secondly_wedded_paying_alimony,0.16226780860584494,0.48832408836637226
HH000029,affluent_couple_brokerage_and_pensions,0.05861027812686129,0.40267771434042804
HH000030,pre_retirement_wealthy,0.037965471206449296,0.3940295961806698
HH000031,widowed,0.17021368580450613,0.41500531057943263
HH000032,affluent_couple_brokerage_and_pensions,0.03783397351333875,0.4232044162553229
HH000033,self_employed_business_owner,0.23141153867476688,0.5758365703313131
HH000034,pre_retirement_wealthy,0.22715423426822112,0.45235732618067626
HH000035,young_dual_income_low_assets,0.10598379736398043,0.41264671720690876
HH000036,pre_retirement_wealthy,0.05312212060366417,0.4011932685912043
HH000037,secondly_wedded_paying_alimony,0.97204954007059,0.6593993452489879
HH000038,affluent_couple_brokerage_and_pensions,0.5601801332030142,0.5757464834851184
HH000039,family_with_mortgage_and_children,0.045787331319090824,0.42991450882364574
HH000040,family_with_mortgage_and_children,0.08399566055018878,0.4801946646155502
HH000041,widowed,0.025957712360267633,0.38207293430200734
